Category,Sum of Count of Brands,Sum of HUL Brands,Sum of P&G Brands,WEEK,SOURCE
Offers,60,5,1,2016-10-22-2016-10-28,Nykaa
Skin,11,6,1,2016-10-22-2016-10-28,Nykaa
Wellness,5,0,0,2016-10-22-2016-10-28,Nykaa
Beauty & Personal care,7,2,0,2016-10-22-2016-10-28,Snapdeal
Below the fold Cards,6,1,0,2016-10-22-2016-10-28,Snapdeal
Food & Gourment,10,0,0,2016-10-22-2016-10-28,Snapdeal
Home Page,60,8,0,2016-10-22-2016-10-28,Snapdeal
Household essentials,18,4,4,2016-10-22-2016-10-28,Snapdeal
NA,6,,,2016-10-22-2016-10-28,Snapdeal
Offers,3,0,0,2016-10-22-2016-10-28,Snapdeal
RHS Card,0,0,0,2016-10-22-2016-10-28,Snapdeal
